Team,Score
Orlando_Magic.txt,3.817
Toronto_Raptors.txt,3.483
Indiana_Pacers.txt,3.405
Detroit_Pistons.txt,3.4
Golden_State_Warriors.txt,3.393
Houston_Rockets.txt,3.379
Dallas_Mavericks.txt,3.308
Sacramento_Kings.txt,3.292
Boston_Celtics.txt,3.263
Milwaukee_Bucks.txt,3.25
Los_Angeles_Clippers.txt,3.248
Oklahoma_City_Thunder.txt,3.239
Phoenix_Suns.txt,3.198
Minnesota_Timberwolves.txt,2.852
Atlanta_Hawks.txt,2.846
New_Orleans_Pelicans.txt,2.801
Denver_Nuggets.txt,2.794
San_Antonio_Spurs.txt,2.782
Utah_Jazz.txt,2.774
Philadelphia_Sixers.txt,2.757
Charlotte_Hornets.txt,2.746
Miami_Heat.txt,2.687
Portland_Trail_Blazers.txt,2.684
Chicago_Bulls.txt,2.672
Memphis_Grizzlies.txt,2.262
New_York_Knicks.txt,2.246
Washington_Wizards.txt,2.215
Los_Angeles_Lakers.txt,2.207
Cleveland_Cavaliers.txt,2.184
Brooklyn_Nets.txt,2.171
