Team,Score
Utah_Jazz.txt,3.53
Houston_Rockets.txt,3.53
Dallas_Mavericks.txt,3.447
San_Antonio_Spurs.txt,3.433
Minnesota_Timberwolves.txt,3.406
Washington_Wizards.txt,3.355
Miami_Heat.txt,3.351
Golden_State_Warriors.txt,3.337
Philadelphia_Sixers.txt,2.948
New_York_Knicks.txt,2.938
Denver_Nuggets.txt,2.891
Detroit_Pistons.txt,2.825
Los_Angeles_Clippers.txt,2.823
Boston_Celtics.txt,2.816
Phoenix_Suns.txt,2.806
Indiana_Pacers.txt,2.804
Portland_Trail_Blazers.txt,2.694
Milwaukee_Bucks.txt,2.666
Los_Angeles_Lakers.txt,2.367
Chicago_Bulls.txt,2.275
Sacramento_Kings.txt,2.255
Oklahoma_City_Thunder.txt,2.25
Toronto_Raptors.txt,2.201
Atlanta_Hawks.txt,2.178
Orlando_Magic.txt,2.167
Memphis_Grizzlies.txt,2.165
Charlotte_Hornets.txt,2.163
Brooklyn_Nets.txt,2.151
Cleveland_Cavaliers.txt,1.164
New_Orleans_Pelicans.txt,1.055
